"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
1,0.000000,5261.000000,"",0.000,0.638, more than 0.28
2,0.000000,3794.000000,"",0.000,0.541, more than 0.28
3,1.000000,4031.000000,-1.0,0.0, No Prediction
4,0.000000,6451.000000,"",0.000,0.155,No  more than 0.28
5,1.000000,4619.000000,"",0.000,0.156,No  more than 0.28
6,1.000000,7340.000000,"",0.806,0.285, more than 0.28
7,1.000000,2210.000000,"",0.000,0.594, more than 0.28
8,0.000000,2089.000000,"",0.000,0.118,No  more than 0.28
9,0.000000,6465.000000,"",0.000,0.111,No  more than 0.28
10,0.000000,7449.000000,"",0.000,0.111,No  more than 0.28
11,0.000000,2941.000000,"",0.000,0.127,No  more than 0.28
12,0.000000,320.000000,"",0.034,0.184,No  more than 0.28
13,0.000000,3420.000000,"",0.000,0.130,No  more than 0.28
14,0.000000,735.000000,"",0.015,0.151,No  more than 0.28
15,0.000000,6354.000000,-1.0,0.0, No Prediction
16,0.000000,8085.000000,"",0.000,0.131,No  more than 0.28
17,0.000000,5196.000000,"",0.031,0.123,No  more than 0.28
18,1.000000,2842.000000,"",0.000,0.119,No  more than 0.28
19,0.000000,1568.000000,"",0.000,0.153,No  more than 0.28
20,0.000000,2438.000000,"",0.000,0.099,No  more than 0.28
21,0.000000,4006.000000,-1.0,0.0, No Prediction
22,0.000000,1515.000000,"",0.000,0.155,No  more than 0.28
23,0.000000,4725.000000,-1.0,0.0, No Prediction
24,0.000000,3936.000000,"",0.051,0.230,No  more than 0.28
25,0.000000,4282.000000,"",0.000,0.142,No  more than 0.28
26,0.000000,7078.000000,"",0.000,0.162,No  more than 0.28
27,0.000000,1743.000000,"",0.000,0.090,No  more than 0.28
28,0.000000,7816.000000,"",0.000,0.131,No  more than 0.28
29,1.000000,2151.000000,"",0.000,0.133,No  more than 0.28
30,0.000000,984.000000,"",0.000,0.154,No  more than 0.28
31,1.000000,7891.000000,"",0.096,0.438, more than 0.28
32,0.000000,942.000000,"",0.000,0.148,No  more than 0.28
33,0.000000,7814.000000,"",0.180,0.210,No  more than 0.28
34,0.000000,6970.000000,"",0.000,0.116,No  more than 0.28
35,0.000000,1144.000000,"",0.000,0.142,No  more than 0.28
36,1.000000,7629.000000,-1.0,0.0, No Prediction
37,0.000000,7519.000000,"",0.210,0.338, more than 0.28
38,0.000000,6035.000000,"",0.000,0.122,No  more than 0.28
39,0.000000,7206.000000,"",0.911,0.278,No  more than 0.28
40,0.000000,1485.000000,"",0.000,0.144,No  more than 0.28
41,1.000000,3046.000000,"",0.000,0.160,No  more than 0.28
42,0.000000,2323.000000,"",0.000,0.129,No  more than 0.28
43,0.000000,1004.000000,"",0.832,0.299, more than 0.28
44,0.000000,8108.000000,"",0.000,0.120,No  more than 0.28
45,0.000000,3874.000000,"",0.040,0.566, more than 0.28
46,0.000000,6432.000000,"",0.192,0.433, more than 0.28
47,0.000000,7868.000000,"",0.000,0.154,No  more than 0.28
48,1.000000,3982.000000,"",0.051,0.497, more than 0.28
49,0.000000,6813.000000,"",0.000,0.140,No  more than 0.28
50,0.000000,5844.000000,"",0.000,0.139,No  more than 0.28
51,0.000000,6713.000000,"",0.000,0.557, more than 0.28
52,0.000000,6331.000000,"",0.000,0.136,No  more than 0.28
53,0.000000,6898.000000,"",0.000,0.116,No  more than 0.28
54,0.000000,2117.000000,"",0.000,0.093,No  more than 0.28
55,1.000000,4193.000000,"",0.000,0.177,No  more than 0.28
56,0.000000,2408.000000,"",0.259,0.381, more than 0.28
57,0.000000,7425.000000,"",0.000,0.174,No  more than 0.28
58,0.000000,4609.000000,"",0.000,0.148,No  more than 0.28
59,0.000000,1129.000000,"",0.661,0.305, more than 0.28
60,1.000000,4012.000000,"",0.000,0.587, more than 0.28
61,1.000000,19.000000,"",0.605,0.304, more than 0.28
62,0.000000,7896.000000,"",0.796,0.291, more than 0.28
63,0.000000,2335.000000,"",0.104,0.164,No  more than 0.28
64,0.000000,214.000000,"",0.000,0.152,No  more than 0.28
65,1.000000,459.000000,-1.0,0.0, No Prediction
66,0.000000,3145.000000,"",0.000,0.146,No  more than 0.28
67,0.000000,455.000000,"",0.000,0.145,No  more than 0.28
68,0.000000,5016.000000,"",0.000,0.142,No  more than 0.28
69,0.000000,3594.000000,"",0.000,0.109,No  more than 0.28
70,0.000000,2814.000000,"",0.000,0.592, more than 0.28
71,1.000000,6515.000000,"",0.540,0.282, more than 0.28
72,0.000000,8496.000000,"",0.000,0.155,No  more than 0.28
73,0.000000,712.000000,"",0.000,0.137,No  more than 0.28
74,1.000000,3829.000000,"",0.386,0.398, more than 0.28
75,0.000000,7775.000000,"",0.234,0.249,No  more than 0.28
76,0.000000,8534.000000,"",0.768,0.304, more than 0.28
